Longitud;Latitud;Name;Nombre_PAF;Departamento;Ciudad
-68.12430833;-16.49788333;BIS;AGENCIA MIRAFLORES;LA PAZ;LA PAZ
-66.1727;-17.3767;BIS;HIPERMAXI II;COCHABAMBA;COCHABAMBA
-63.14525833;-17.76715833;BIS;AVICOLA SOFIA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.76528889;-11.02431111;BIS;AV. PANDO;PANDO;COBIJA
-68.75966389;-11.02726389;BIS;EL CRISTO;PANDO;COBIJA
-68.77105556;-11.03887222;BIS;AV. 9 DE FEBRERO KM. 3;PANDO;COBIJA
-66.16872222;-17.37197222;BIS;JAIMES FREYRE;COCHABAMBA;COCHABAMBA
-68.21006389;-16.521975;BIS;PLAZA DEL POLICIA;LA PAZ;EL ALTO
-63.16852222;-17.75051111;BIS;HIPERMAXI BENI 4TO. ANILLO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.13175;-17.83523056;BIS;PLAN 3000;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.15986944;-17.78500556;BIS;BRASIL;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.08754167;-16.54917222;BIS;SAINT ANDREW´S;LA PAZ;LA PAZ
-66.27256111;-17.39305278;BIS;QUILLACOLLO II;COCHABAMBA;QUILLACOLLO
-68.07006389;-16.54982222;BIS;LA RAZON;LA PAZ;LA PAZ
-68.14484444;-16.49553056;BIS;TUMUSLA;LA PAZ;LA PAZ
-66.15503333;-17.38894444;BIS;COLON;COCHABAMBA;COCHABAMBA
-68.12216667;-16.51073611;BIS;MULTICINE II;LA PAZ;LA PAZ
-68.20805556;-16.49015556;BIS;AG. RIO SECO;LA PAZ;EL ALTO
-64.903375;-14.83304722;BIS;TRINIDAD III;BENI;TRINIDAD
-63.18574444;-17.78472778;BIS;AG. 7 CALLES;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.18489722;-16.58135556;BIS;AGENCIA SENKATA;LA PAZ;EL ALTO
-63.88695278;-17.40285833;BIS;YAPACANI;SANTA CRUZ;YAPACANI
-66.15519444;-17.40513889;BIS;CALLE TOTORA;COCHABAMBA;COCHABAMBA
-63.22936389;-17.83081667;BIS;SCHLUMBERGER;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19492222;-17.78971389;BIS;HIPERMAXI PIRAI 2DO ANILLO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.13031667;-17.42751667;BIS;SIGLO XX;COCHABAMBA;COCHABAMBA
-65.25295;-19.05285278;BIS;EL GUEREO;CHUQUISACA;SUCRE
-68.077125;-16.53885833;BIS;SAN MIGUEL III;LA PAZ;LA PAZ
-66.172375;-17.35896667;BIS;MAYORAZGO;COCHABAMBA;COCHABAMBA
-63.17363333;-17.74490278;BIS;NORTE II;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-65.76795278;-19.57817778;BIS;PANAMERICANO;POTOSI;POTOSI
-63.05013611;-17.76708611;BIS;FRIDOSA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.10467778;-17.76568056;BIS;FIDALGA COTOCA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.157425;-17.75441944;BIS;2 DE AGOSTO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.12129444;-16.47990556;BIS;VILLA FATIMA II;LA PAZ;LA PAZ
-66.21902222;-17.337675;BIS;TIQUIPAYA;COCHABAMBA;TIQUIPAYA
-66.18114444;-17.37585;BIS;BEIJING;COCHABAMBA;COCHABAMBA
-68.16455556;-16.51182222;BIS;PRINCIPAL EL ALTO I;LA PAZ;EL ALTO
-68.16455556;-16.51182222;BIS;PRINCIPAL EL ALTO II;LA PAZ;EL ALTO
-63.19108889;-17.81064167;BIS;AG. ALTO SAN PEDRO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.12136111;-16.50368333;BIS;PLAZA TRIANGULAR;LA PAZ;LA PAZ
-65.24518611;-19.03255556;BIS;MARCELO QUIROGA SANTA CRUZ;CHUQUISACA;SUCRE
-63.16120833;-17.76465278;BIS;MUTUALISTA II;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
